edge	cor
ENSDARG00000006202 (geneExprCor) ENSDARG00000059841	0.823252512934905
ENSDARG00000006202 (geneExprCor) ENSDARG00000060609	0.8422071525320234
ENSDARG00000006202 (geneExprCor) ENSDARG00000062054	0.8294923749553897
ENSDARG00000006202 (geneExprCor) ENSDARG00000063297	0.8310726041620458
ENSDARG00000006202 (geneExprCor) ENSDARG00000063509	0.8375780615923314
ENSDARG00000006202 (geneExprCor) ENSDARG00000069185	0.8745018037248595
ENSDARG00000006202 (geneExprCor) ENSDARG00000074168	0.8476992522623799
ENSDARG00000006202 (geneExprCor) ENSDARG00000074526	0.8819853969813671
ENSDARG00000006202 (geneExprCor) ENSDARG00000075676	0.9328377663701293
ENSDARG00000006202 (geneExprCor) ENSDARG00000076945	0.8259471644724448
ENSDARG00000006202 (geneExprCor) ENSDARG00000078108	0.8577661671112975
ENSDARG00000006202 (geneExprCor) ENSDARG00000079059	0.800333913737094
ENSDARG00000006202 (geneExprCor) ENSDARG00000090969	0.8553781942171061
ENSDARG00000006202 (geneExprCor) ENSDARG00000091792	0.8784045093642272
ENSDARG00000006202 (geneExprCor) ENSDARG00000091801	0.8257021342477657
ENSDARG00000006202 (geneExprCor) ENSDARG00000097826	0.8860638375601992
ENSDARG00000006202 (geneExprCor) ENSDARG00000098258	0.8050800128276584
ENSDARG00000006202 (geneExprCor) ENSDARG00000098375	0.8012519598744205
ENSDARG00000006202 (geneExprCor) ENSDARG00000099186	0.8179173731957244
ENSDARG00000006202 (geneExprCor) ENSDARG00000101849	0.9138896016319382
ENSDARG00000006202 (geneExprCor) ENSDARG00000103295	0.8823069467628705
ENSDARG00000006202 (geneExprCor) ENSDARG00000103428	0.8418984961628242
ENSDARG00000006202 (geneExprCor) ENSDARG00000103435	0.812425211558969
ENSDARG00000006202 (geneExprCor) ENSDARG00000103459	0.8789808087894038
ENSDARG00000006202 (geneExprCor) ENSDARG00000105590	0.889303873618424
